ID_Cliente,Val_compras,Num_compras,Categorias
87bfc2c6-06f5-4e86-8604-a4bd70af8f79,310298,71,"Joyeria,Ropa,Juguetes,Hogar,Ropa,Electronicos,Ropa,Animales,Videojuegos,Celulares,Animales,Celulares,Hogar,Joyeria,Libros,Ferreteria,Libros,Bebes,Celulares,Videojuegos,Bebes,Ropa,Salud,Celulares,Celulares,Libros,Videojuegos,Animales,Libros,Ropa,Joyeria,Deportes,Bebes,Libros,Videojuegos,Celulares,Joyeria,Ferreteria,Ropa,Bebes,Salud,Celulares,Videojuegos,Deportes,Ropa,Celulares,Libros,Videojuegos,Bebes,Ropa,Libros,Animales,Libros,Salud,Ferreteria,Ferreteria,Bebes,Juguetes,Ferreteria,Videojuegos,Animales,Deportes,Hogar,Ferreteria,Animales,Libros,Joyeria,Animales,Electronicos,Joyeria,Salud"
8c9c4340-9de3-4534-901d-43d15a3d2696,256428,51,"Salud,Celulares,Ropa,Joyeria,Salud,Hogar,Ferreteria,Ropa,Libros,Bebes,Celulares,Ropa,Electronicos,Salud,Electronicos,Ferreteria,Juguetes,Ropa,Joyeria,Ferreteria,Libros,Videojuegos,Deportes,Ropa,Videojuegos,Hogar,Deportes,Ferreteria,Libros,Celulares,Videojuegos,Celulares,Deportes,Ferreteria,Bebes,Videojuegos,Celulares,Libros,Bebes,Ropa,Animales,Electronicos,Bebes,Salud,Videojuegos,Deportes,Celulares,Animales,Libros,Celulares,Celulares"
0660735e-e21a-4b98-a95f-51ffe68eef8f,33435,13,"Deportes,Animales,Ferreteria,Electronicos,Celulares,Deportes,Ferreteria,Deportes,Deportes,Hogar,Bebes,Salud,Joyeria"
3215f6d8-0f6e-48aa-afcb-de8308227a0c,381582,98,"Animales,Celulares,Bebes,Ferreteria,Ferreteria,Celulares,Celulares,Animales,Animales,Electronicos,Bebes,Libros,Bebes,Animales,Salud,Ropa,Juguetes,Animales,Juguetes,Animales,Hogar,Salud,Animales,Deportes,Deportes,Ropa,Celulares,Animales,Animales,Ropa,Celulares,Hogar,Electronicos,Ferreteria,Libros,Videojuegos,Ropa,Joyeria,Libros,Ropa,Celulares,Videojuegos,Deportes,Libros,Joyeria,Electronicos,Celulares,Deportes,Libros,Videojuegos,Celulares,Bebes,Salud,Bebes,Celulares,Joyeria,Bebes,Libros,Hogar,Electronicos,Joyeria,Hogar,Deportes,Videojuegos,Hogar,Celulares,Ferreteria,Deportes,Videojuegos,Animales,Electronicos,Salud,Juguetes,Celulares,Joyeria,Celulares,Videojuegos,Videojuegos,Salud,Salud,Ropa,Ropa,Animales,Salud,Bebes,Celulares,Ropa,Ferreteria,Electronicos,Ferreteria,Joyeria,Hogar,Ferreteria,Libros,Deportes,Salud,Joyeria,Libros"
4c1f0342-5959-4d46-8fe9-054740b1ffd5,270521,80,"Ropa,Hogar,Celulares,Joyeria,Ferreteria,Celulares,Juguetes,Ferreteria,Joyeria,Hogar,Animales,Juguetes,Libros,Deportes,Libros,Celulares,Videojuegos,Bebes,Bebes,Hogar,Ropa,Bebes,Ferreteria,Ropa,Bebes,Animales,Joyeria,Salud,Ropa,Bebes,Videojuegos,Deportes,Deportes,Libros,Libros,Salud,Ropa,Videojuegos,Hogar,Celulares,Celulares,Libros,Juguetes,Ferreteria,Videojuegos,Juguetes,Joyeria,Hogar,Deportes,Joyeria,Videojuegos,Animales,Libros,Joyeria,Videojuegos,Videojuegos,Juguetes,Celulares,Salud,Hogar,Videojuegos,Videojuegos,Ropa,Animales,Hogar,Celulares,Deportes,Libros,Celulares,Hogar,Ropa,Libros,Juguetes,Celulares,Ferreteria,Deportes,Bebes,Bebes,Bebes,Animales"
9e2b3df9-e824-413d-83ad-8fc78818eedd,236238,85,"Joyeria,Animales,Juguetes,Animales,Salud,Videojuegos,Electronicos,Salud,Celulares,Celulares,Joyeria,Electronicos,Celulares,Libros,Deportes,Videojuegos,Deportes,Libros,Juguetes,Hogar,Electronicos,Ferreteria,Juguetes,Juguetes,Joyeria,Bebes,Salud,Ropa,Videojuegos,Libros,Videojuegos,Deportes,Libros,Celulares,Celulares,Ferreteria,Deportes,Videojuegos,Videojuegos,Libros,Videojuegos,Celulares,Ropa,Juguetes,Libros,Bebes,Deportes,Ropa,Videojuegos,Ferreteria,Celulares,Deportes,Ropa,Libros,Salud,Ropa,Ropa,Animales,Juguetes,Salud,Animales,Juguetes,Ropa,Celulares,Hogar,Celulares,Animales,Libros,Libros,Ropa,Videojuegos,Animales,Hogar,Joyeria,Ropa,Deportes,Ferreteria,Juguetes,Animales,Deportes,Electronicos,Hogar,Salud,Ferreteria,Bebes"
bce7353b-08f4-4c7f-a63c-9d927c7085c8,175693,40,"Hogar,Deportes,Electronicos,Deportes,Juguetes,Hogar,Bebes,Ropa,Animales,Ropa,Hogar,Videojuegos,Libros,Celulares,Salud,Animales,Juguetes,Celulares,Animales,Bebes,Celulares,Ferreteria,Joyeria,Ropa,Salud,Celulares,Bebes,Videojuegos,Animales,Animales,Juguetes,Celulares,Ropa,Animales,Electronicos,Animales,Ferreteria,Celulares,Animales,Bebes"
414f17f6-a114-4840-b755-36269a13645b,399508,93,"Deportes,Celulares,Celulares,Juguetes,Hogar,Juguetes,Ropa,Videojuegos,Animales,Joyeria,Bebes,Bebes,Libros,Deportes,Electronicos,Hogar,Bebes,Animales,Juguetes,Ropa,Ropa,Animales,Ropa,Bebes,Celulares,Bebes,Ferreteria,Deportes,Libros,Deportes,Deportes,Celulares,Joyeria,Electronicos,Celulares,Ropa,Electronicos,Joyeria,Bebes,Ropa,Libros,Electronicos,Ropa,Libros,Animales,Celulares,Celulares,Celulares,Ropa,Hogar,Videojuegos,Libros,Joyeria,Bebes,Juguetes,Videojuegos,Joyeria,Electronicos,Electronicos,Libros,Hogar,Ferreteria,Ropa,Celulares,Bebes,Ropa,Hogar,Joyeria,Ropa,Juguetes,Celulares,Joyeria,Joyeria,Salud,Videojuegos,Ferreteria,Celulares,Hogar,Animales,Bebes,Libros,Bebes,Juguetes,Libros,Celulares,Salud,Libros,Joyeria,Bebes,Hogar,Hogar,Bebes,Bebes"
ffe09176-5193-42ce-a403-288afbccf391,242751,72,"Joyeria,Hogar,Ferreteria,Libros,Ferreteria,Celulares,Hogar,Libros,Animales,Joyeria,Animales,Hogar,Electronicos,Ferreteria,Hogar,Bebes,Salud,Videojuegos,Libros,Hogar,Hogar,Deportes,Ferreteria,Joyeria,Libros,Juguetes,Ferreteria,Animales,Videojuegos,Ropa,Ropa,Ropa,Videojuegos,Bebes,Animales,Celulares,Hogar,Ropa,Electronicos,Deportes,Juguetes,Videojuegos,Juguetes,Videojuegos,Ropa,Celulares,Animales,Videojuegos,Hogar,Deportes,Celulares,Ropa,Salud,Ferreteria,Joyeria,Videojuegos,Libros,Deportes,Ferreteria,Hogar,Ropa,Libros,Salud,Celulares,Celulares,Deportes,Electronicos,Deportes,Joyeria,Hogar,Joyeria,Libros"
b3dc9ba1-7205-4957-b5a0-f9cb52effadd,150222,74,"Joyeria,Ferreteria,Animales,Libros,Videojuegos,Juguetes,Deportes,Celulares,Electronicos,Ropa,Ropa,Electronicos,Deportes,Deportes,Videojuegos,Ferreteria,Joyeria,Videojuegos,Ferreteria,Joyeria,Ferreteria,Ropa,Celulares,Celulares,Celulares,Bebes,Deportes,Celulares,Videojuegos,Libros,Ferreteria,Juguetes,Videojuegos,Libros,Juguetes,Bebes,Electronicos,Ferreteria,Ferreteria,Salud,Ropa,Salud,Deportes,Juguetes,Ferreteria,Libros,Salud,Salud,Salud,Salud,Bebes,Videojuegos,Animales,Animales,Celulares,Ropa,Electronicos,Salud,Bebes,Animales,Libros,Animales,Ropa,Animales,Deportes,Celulares,Celulares,Joyeria,Videojuegos,Deportes,Ropa,Bebes,Libros,Celulares"
af6669b5-73b1-4b25-a244-6b1d76834f6a,172149,66,"Deportes,Joyeria,Animales,Bebes,Ropa,Juguetes,Hogar,Bebes,Ropa,Deportes,Celulares,Juguetes,Joyeria,Electronicos,Bebes,Libros,Ferreteria,Videojuegos,Ropa,Ferreteria,Ropa,Ropa,Libros,Ropa,Libros,Deportes,Libros,Bebes,Bebes,Deportes,Bebes,Deportes,Ropa,Celulares,Salud,Animales,Joyeria,Celulares,Electronicos,Hogar,Libros,Joyeria,Celulares,Salud,Ropa,Hogar,Celulares,Libros,Electronicos,Bebes,Deportes,Hogar,Electronicos,Hogar,Videojuegos,Bebes,Celulares,Deportes,Animales,Animales,Celulares,Juguetes,Salud,Ropa,Salud,Celulares"
36addb3a-6e08-46a9-886d-88c0928e6793,249540,68,"Videojuegos,Juguetes,Animales,Electronicos,Celulares,Electronicos,Joyeria,Libros,Hogar,Joyeria,Animales,Joyeria,Salud,Celulares,Libros,Deportes,Ropa,Salud,Ferreteria,Celulares,Joyeria,Deportes,Libros,Celulares,Bebes,Ropa,Deportes,Hogar,Deportes,Celulares,Deportes,Videojuegos,Animales,Joyeria,Salud,Celulares,Ropa,Animales,Juguetes,Ropa,Videojuegos,Deportes,Videojuegos,Celulares,Celulares,Joyeria,Joyeria,Electronicos,Libros,Animales,Electronicos,Ropa,Hogar,Ropa,Electronicos,Bebes,Ropa,Salud,Joyeria,Celulares,Animales,Ropa,Celulares,Joyeria,Libros,Animales,Salud,Libros"
3f94a47c-cc0e-4565-abb9-9b4d322290fb,223530,77,"Celulares,Bebes,Juguetes,Videojuegos,Celulares,Salud,Bebes,Juguetes,Libros,Videojuegos,Electronicos,Ropa,Salud,Bebes,Salud,Juguetes,Ropa,Bebes,Joyeria,Deportes,Juguetes,Salud,Ropa,Animales,Animales,Juguetes,Animales,Videojuegos,Videojuegos,Deportes,Celulares,Deportes,Celulares,Joyeria,Videojuegos,Deportes,Salud,Ropa,Libros,Salud,Hogar,Celulares,Salud,Juguetes,Animales,Hogar,Electronicos,Bebes,Libros,Animales,Hogar,Hogar,Hogar,Joyeria,Juguetes,Bebes,Juguetes,Hogar,Deportes,Libros,Salud,Videojuegos,Celulares,Bebes,Joyeria,Celulares,Celulares,Juguetes,Deportes,Juguetes,Electronicos,Libros,Animales,Ferreteria,Hogar,Deportes,Salud"
9cee6838-4c0d-4528-a858-4929ad16fe09,113301,27,"Deportes,Salud,Deportes,Ropa,Celulares,Animales,Animales,Animales,Bebes,Libros,Deportes,Hogar,Deportes,Videojuegos,Hogar,Hogar,Bebes,Bebes,Joyeria,Celulares,Hogar,Bebes,Libros,Salud,Ferreteria,Videojuegos,Joyeria"
b5ae7055-6c13-4c08-8957-92de736cf8c6,332584,94,"Animales,Hogar,Bebes,Animales,Deportes,Ferreteria,Joyeria,Ferreteria,Libros,Celulares,Bebes,Juguetes,Deportes,Libros,Ferreteria,Electronicos,Libros,Celulares,Ropa,Animales,Electronicos,Juguetes,Electronicos,Salud,Animales,Videojuegos,Hogar,Ferreteria,Deportes,Ferreteria,Joyeria,Ferreteria,Libros,Animales,Joyeria,Videojuegos,Ferreteria,Libros,Videojuegos,Bebes,Celulares,Ropa,Hogar,Bebes,Juguetes,Bebes,Electronicos,Salud,Hogar,Celulares,Hogar,Ferreteria,Joyeria,Libros,Hogar,Ropa,Deportes,Joyeria,Celulares,Salud,Bebes,Electronicos,Hogar,Deportes,Videojuegos,Animales,Libros,Videojuegos,Bebes,Ferreteria,Salud,Libros,Ropa,Juguetes,Videojuegos,Bebes,Ropa,Joyeria,Deportes,Videojuegos,Celulares,Deportes,Bebes,Salud,Joyeria,Libros,Joyeria,Celulares,Libros,Celulares,Hogar,Salud,Joyeria,Bebes"
edba512f-e2a8-4cca-8f58-00c454508284,6390,1,Joyeria
3eec16f2-63d6-442b-849b-ddb7f7770d47,4314,3,"Bebes,Juguetes,Joyeria"
12e8214e-606b-43e9-bddf-72bc472f46d4,61244,16,"Bebes,Ropa,Celulares,Electronicos,Videojuegos,Celulares,Ropa,Animales,Deportes,Electronicos,Joyeria,Hogar,Hogar,Salud,Juguetes,Animales"
3c54b0f7-63e7-474c-a52c-1f56b6907f95,332354,41,"Libros,Ferreteria,Celulares,Joyeria,Deportes,Deportes,Libros,Videojuegos,Juguetes,Bebes,Bebes,Libros,Videojuegos,Deportes,Animales,Hogar,Animales,Salud,Celulares,Joyeria,Ropa,Libros,Joyeria,Videojuegos,Joyeria,Ropa,Celulares,Bebes,Juguetes,Ferreteria,Salud,Deportes,Celulares,Electronicos,Salud,Electronicos,Joyeria,Joyeria,Hogar,Celulares,Ropa"
20283eae-79a8-4bcf-8155-58664595a197,208970,52,"Videojuegos,Hogar,Hogar,Deportes,Hogar,Animales,Celulares,Animales,Salud,Celulares,Bebes,Videojuegos,Salud,Ferreteria,Ferreteria,Ropa,Juguetes,Ropa,Joyeria,Deportes,Joyeria,Juguetes,Deportes,Libros,Videojuegos,Videojuegos,Ferreteria,Libros,Hogar,Juguetes,Joyeria,Videojuegos,Videojuegos,Deportes,Celulares,Hogar,Deportes,Celulares,Videojuegos,Joyeria,Salud,Deportes,Electronicos,Videojuegos,Libros,Joyeria,Juguetes,Libros,Celulares,Ferreteria,Videojuegos,Animales"
46a1c9ca-10f4-4c35-9649-fa7ae0f03bb8,54708,28,"Hogar,Juguetes,Deportes,Electronicos,Hogar,Ropa,Hogar,Ropa,Bebes,Ropa,Juguetes,Libros,Celulares,Deportes,Animales,Videojuegos,Hogar,Videojuegos,Joyeria,Videojuegos,Deportes,Deportes,Videojuegos,Animales,Juguetes,Ferreteria,Animales,Deportes"
