ID_Prod,Precio,Categoria
3d2438a8-c70c-4ab5-9cb6-6c3714cdc86c,$984 ,Animales
e5e65678-433b-4b9e-8fa8-c2c53b3265f1,"$1,900 ",Animales
aa61876c-4742-4cf0-bea7-3148aeb87506,"$2,000 ",Animales
c9fcff5c-c8cd-4bff-a740-1f13535fd593,"$1,500 ",Animales
cf63d774-1ec4-484a-95dc-e137f4f81710,$499 ,Animales
8510d161-19af-4184-8223-8df49edb9ba1,$415 ,Animales
537e380c-90fc-431b-93e8-f7c562cf1e6e,$430 ,Animales
1b4f94b3-60a0-4493-8fa9-4d0f05c4c4d1,$249 ,Animales
b27c2096-8d56-45f1-86c9-0fd78390d39f,$440 ,Animales
db409dcb-a925-475e-adeb-78a3acabf65f,$678 ,Animales
e09cbda0-87d5-437a-9a7d-7ae5a175d5a7,"$1,250 ",Animales
84406a9a-7dab-4f24-b3cb-cb5a8158030b,"$1,699 ",Animales
17367d3b-5029-4a60-ae47-bf8db0aece84,$980 ,Animales
0220a7af-acaa-4e82-9183-08bf3356dff6,$852 ,Animales
fdaca4fd-820f-4f31-9258-393772fc7d94,"$1,098 ",Animales
0ca88dee-b1ae-460f-9f7a-539e3c8c457f,"$1,320 ",Animales
2f408383-d829-4b94-bfb5-05693fa7dbf6,"$1,389 ",Animales
588adc41-1dfc-410c-b89a-815f65714850,"$1,270 ",Animales
4616e873-3178-422e-a822-a02152eab215,"$1,824 ",Animales
6ae95d4c-317c-469d-bc92-3b7183354394,"$1,729 ",Animales
b8b0db9c-289e-4226-bed4-1f5a04955ad8,"$2,019 ",Animales
2f68aad5-4ee8-4ab7-822e-f5a90993dc86,"$2,342 ",Animales
d155ac87-f36e-4457-af56-43cc92f9a4f1,"$2,599 ",Animales
94a1501d-abd3-4f9b-978b-d1bbe254e0c1,$920 ,Animales
b92475ef-c622-4b22-b5ff-3a5a2522e0c6,"$1,402 ",Animales
1cf24893-f41b-4d81-babd-9a1a2f8af600,"$1,781 ",Animales
0944af35-59a9-4123-97d2-316e4eb4c446,"$2,489 ",Animales
0f567a08-d16b-4747-a1ad-305e00990c4f,"$2,681 ",Animales
cd6dcacf-d3e2-4983-9400-c95a2d8dee67,"$1,549 ",Animales
ffbdc08e-c122-4ff9-ac83-8eb3af8c1f06,"$14,268 ",Animales
899631e4-5a04-470d-92e7-268ff078678a,"$14,750 ",Animales
ea0ceb39-f9b6-4d79-992c-d1527093d3da,"$1,199 ",Animales
69d07d43-079c-47d3-8abb-1bbaf75a71a8,$269 ,Animales
943ea115-318f-476b-bab8-0cee5b915616,$280 ,Animales
cecb3cb4-e4f3-4fec-9392-d35f2472b5f5,$389 ,Animales
795c3391-71a7-4688-8c86-8b786fb6ec9c,$690 ,Animales
8c2d1864-8a4b-4308-b0fc-d203251f9e16,"$1,199 ",Animales
b967e303-82fd-495c-aafe-cfa63ca6c6cd,$745 ,Animales
de04bb6e-a223-4f85-be10-c33593a69f90,$916 ,Animales
a5f435c4-6a63-4f63-8328-6ea39d28566b,$940 ,Animales
40115cbc-15b5-4be0-8f0b-56e5f4dd7538,"$2,199 ",Animales
84d9ff45-633d-45c0-a3e0-ca24fb1931b0,$945 ,Animales
766d4c89-951a-4c92-91db-6b132fb0e310,"$1,142 ",Animales
c6ee367e-9a6d-4884-bb30-5f4477598103,"$1,090 ",Animales
f61f45e7-86cf-48dd-b3e4-501c229d0327,"$1,545 ",Animales
672319c1-5b29-411f-96f4-6cdd08b99aa2,"$1,545 ",Animales
f5d8abc1-6853-4125-a73a-2470ab90cb18,"$1,555 ",Animales
20f99462-a7da-4270-bf9b-929f61aa2a0a,"$1,669 ",Animales
65c92786-6cf1-4764-8e69-bda3bb6d5155,"$1,799 ",Animales
6610e285-0f55-42ec-a37b-dc6d2fef96e0,"$1,839 ",Animales
73af6de3-ccd5-4890-9b63-d26d10a84b8b,"$1,999 ",Animales
b76ba5f5-0c37-4005-b396-e34f383e0de5,"$1,909 ",Animales
03fdca98-bf42-464c-8890-4c2a3d23bb8e,"$2,032 ",Animales
8e21b5e4-86f5-4b69-ba83-343ec02781b6,"$2,200 ",Animales
e1e3be18-5660-4a91-acba-c07a1a226ce0,"$2,647 ",Animales
959752c4-6ba8-4436-a37f-54da953f8aef,"$2,009 ",Animales
619261bd-f137-4424-a6e0-bf0caef777e2,$840 ,Animales
87de8644-8af3-48fd-bc51-4d5002a21d81,$889 ,Animales
d474034a-dc9e-4923-94d2-34f040c5a490,"$1,196 ",Animales
7c5579ac-d07e-43cd-960e-936c5d7a364b,"$1,760 ",Animales
5eb96ffc-5411-4547-979c-1f49aeabb6cc,"$1,870 ",Animales
450ecb18-7ea2-411b-81cc-df60f1a729dc,"$1,999 ",Animales
345607cf-3d3b-4c1f-b85c-cade5e0597fd,"$2,099 ",Animales
2fb0431a-a2aa-4106-a21e-0779f2014018,"$3,000 ",Animales
72f68c3c-a27a-48c9-bb15-40e910c159c7,"$2,149 ",Animales
ea309401-ea03-463a-bd88-13f3452b2dda,"$2,479 ",Animales
d4194597-78f0-4373-be35-26ee3a6cd5b2,"$2,439 ",Animales
cd302d31-9d62-401a-9d43-8bbdf3ff47f9,"$3,290 ",Animales
1f3c4b14-c17e-4dd9-9f2d-bca538bf0319,"$5,650 ",Animales
bb440688-0dfa-439d-9f5c-f0224d7774dd,"$5,999 ",Animales
373fe0fa-be6b-4fd5-b49f-60608985bd7d,"$3,141 ",Animales
c289306d-1149-4461-96cf-6526c7883f3c,$36 ,Animales
e8a35e61-ab8a-48ce-9927-5615c5b86843,$729 ,Animales
