ID,Edad,Sexo
87bfc2c6-06f5-4e86-8604-a4bd70af8f79,26,M
8c9c4340-9de3-4534-901d-43d15a3d2696,55,F
0660735e-e21a-4b98-a95f-51ffe68eef8f,38,F
3215f6d8-0f6e-48aa-afcb-de8308227a0c,25,F
4c1f0342-5959-4d46-8fe9-054740b1ffd5,23,M
9e2b3df9-e824-413d-83ad-8fc78818eedd,50,F
bce7353b-08f4-4c7f-a63c-9d927c7085c8,31,M
414f17f6-a114-4840-b755-36269a13645b,62,M
ffe09176-5193-42ce-a403-288afbccf391,35,F
b3dc9ba1-7205-4957-b5a0-f9cb52effadd,31,M
af6669b5-73b1-4b25-a244-6b1d76834f6a,37,F
36addb3a-6e08-46a9-886d-88c0928e6793,20,M
3f94a47c-cc0e-4565-abb9-9b4d322290fb,36,F
9cee6838-4c0d-4528-a858-4929ad16fe09,67,F
b5ae7055-6c13-4c08-8957-92de736cf8c6,55,F
edba512f-e2a8-4cca-8f58-00c454508284,25,F
3eec16f2-63d6-442b-849b-ddb7f7770d47,63,M
12e8214e-606b-43e9-bddf-72bc472f46d4,39,F
3c54b0f7-63e7-474c-a52c-1f56b6907f95,41,F
20283eae-79a8-4bcf-8155-58664595a197,27,F
46a1c9ca-10f4-4c35-9649-fa7ae0f03bb8,40,F
bae371c4-8db1-4176-907a-68ce03eb4368,25,F
9419207f-e876-4aec-9167-c86e55472d16,26,F
56e03b7b-4fff-43d1-9b35-513b73de82db,34,M
d1b6cd6f-98b6-47b5-9280-eecb3faa5a58,22,F
9cc30387-5216-491b-9776-d2ffdefb904e,38,M
24c3651a-af7a-4b6e-9379-1506879ff29d,65,F
518d9062-042c-4205-9db0-3fc32cfc8f99,24,F
f2c5f7ce-a24a-427c-b01d-32cc81a93a88,54,M
0490363c-0289-45c5-89d3-8c2cf7761897,47,F
2a38c136-1204-4e01-ae18-8ff830ab4653,27,F
b08cf188-e7fe-41c4-a556-87588344eefa,21,F
2bb5934a-4664-44de-b2c3-5906bda93fcd,51,M
94c1bd9a-31d8-469d-ba0f-d074784bc9b2,62,F
3d85f63d-aefb-4529-a597-995116717315,53,F
b4730a48-55d2-4d26-a491-c0b79e78e5cf,28,F
9f930ddf-82ff-47ab-9a36-4c77628e2903,31,M
e2203c3a-bed0-4986-ad96-790eb49825ff,32,F
71b8e776-0f2d-4c07-9c4e-0ddc34dc9e43,62,M
f8687cc2-95d8-42ae-84be-3c0e6623057e,55,M
a57622d6-71f7-4f6f-abc9-eabb5372ab22,30,F
962e467d-1b61-48d9-8e6e-95afd295d7c7,48,F
eb3ab09f-264e-412e-9bd8-ce7ef282e2c9,31,M
ec116247-3e27-4538-9da4-1f37b91c9feb,63,M
7b7516bb-a9a5-483b-9159-57b2903f684d,50,M
b8492189-50c5-4816-a266-d4d7ad2fa49e,58,F
a8ddfbbc-0155-4a67-a07a-05a3fed0a3c0,20,M
da46bf69-3092-4ece-8140-33d1f1dcc761,59,M
1896bc35-915d-467f-bf4a-62a57418beec,52,F
57b061e4-4037-41f3-b32e-68811bdfaad9,61,F
49f82886-e661-4120-8453-11af24aee7d9,44,F
a52d9eee-555a-4839-976e-f45fc91d9661,37,F
2c668ba2-701b-4bba-9d97-378e9b007c33,51,M
146e0d98-2976-477a-b141-75f4749c3cc2,43,F
020dbc35-3131-47d6-b69c-ce7b7e2b738f,23,M
f63bc41e-053f-4939-ab8c-0631113da001,20,F
f387b64e-934d-4282-b51f-74e58618df62,42,M
6d40e05a-9a69-4692-9177-2cbd5f3b6025,21,M
6e367d60-242e-4b8b-b3fa-d161977235c5,37,M
c59afb2a-e8c7-4b70-bf9a-7180db29dbb7,42,M
74f4f6e1-7837-4922-af51-3877ceb9f17d,46,M
103f62d5-20aa-489c-beca-334b2257e758,64,M
3eb32b9e-e27f-4438-b118-e2b270ac8e6f,58,M
761c11e5-9025-4136-a1bd-06d456e6271e,39,F
f5025cf4-83c6-4a52-9807-a37c426912c8,24,M
16488b20-0c01-4ddf-8e9d-55b55b7670c5,69,F
568961d4-1712-45f5-802f-7b67436f1488,63,M
540e8b92-120c-4af3-b7e1-9564b84d280e,29,F
080120f1-f6fc-4e39-8089-822d1485cfe8,28,M
e832c758-5236-4ba2-817b-a76055429f71,29,F
efcd3f6b-cd73-4aa4-8036-cba4fcf61bfb,18,F
b14776a2-9881-4acb-a10e-bd1e3937c89b,61,M
f32821e2-a426-4e1d-9af5-f24b7f7e2034,34,F
57ec9bd2-079f-4aee-a5df-e84b7935052e,54,F
